DistName,n_schools,n_students,st_pct_black,st_pct_hisp,st_pct_white,st_pct_native,st_pct_asian,st_pct_pac,st_pct_mult,st_pct_ecodis,st_pct_englishlearners,st_pct_speced,st_pct_bilingual,st_pct_careertech,st_pct_gifted,attendance_rate,ann_dropout_rate,ann_grad_count_1819,avg_sat_1819,avg_act_1819,tot_staff_fte,tot_teach_fte,staff_pct_centraladmin,staff_pct_schooladmin,staff_pct_profsupport,staff_pct_teach,staff_pct_educaides,staff_pct_aux,avg_salary_central,avg_salary_school,avg_salary_prof,avg_salary_teach,staff_pct_minority,stud_teach_ratio,teach_pct_5underexp,teach_avgexp,teach_pct_advdegrees,teach_turnover_rate,teach_pct_black,teach_pct_hisp,teach_pct_white,teach_pct_native,teach_pct_asian,teach_pct_pac,teach_pct_mult,teach_pct_reged,teach_pct_speced,teach_pct_compeduc,teach_pct_esl,taxable_value_per_student_17,local_tax_rate_18,tot_operating_reevenue,rev_pct_state,rev_pct_local,rev_pct_fed,tot_other_rev,fund_balance,net_assets_charter,tot_expend_1819,tot_opexpend_per_student,,exp_pct_basiced,exp_pect_speced,exp_pct_state,exp_pct_esl,exp_pct_cartecheduc,exp_pct_gifted,exp_pct_athletics,exp_pct_hsallotment,exp_pct_kinder,exp_pct_na,district_size,community_type,property_wealth,tax_rate
LUFKIN ISD,17,7839,29.2,41.6,24.9,0.1,1.1,0,3,84.4,18.4,11.6,25,26.4,11.6,95.6,2.8,510,1036,19.9,1310.7,584.7,1.3,3.5,8,44.6,13.3,29.3,96639,76047,65001,52949,41.3,13.4,37.6,11.4,20.9,16.2,11.5,12.3,74.2,0.5,0.2,0,1.4,67,9,1.1,6.9,282586,1.45,86134240,47.6,38.2,14.2,7683116,23218956,0,90413781,10025,54.4,43.4,11.3,9.6,0.8,3.4,0.3,1.7,0.7,2.8,26,"5,000 to 9,999",Independent Town,"$266,163 to < $288,727",$1.4301 and over
HUNTINGTON ISD,5,1607,2.8,6.7,86.4,0.6,0.1,0.1,3.2,54.4,1.2,14,1.2,33.1,4.6,95,0.3,133,1063,21.4,262.8,128,1.1,3.6,9,48.7,9.7,27.9,113167,69419,56415,50079,5.5,12.6,32.8,12.8,13.7,18.4,1.6,0.8,96.9,0.8,0,0,0,71,11.6,7.9,0,157534,1.391,17790118,64.6,23,12.4,1357620,4014660,0,18513190,10216,53.1,37.5,11.7,10.3,0.2,4.7,0.2,4.1,2.3,0.5,28.6,"1,600 to 2,999",Non-metropolitan Stable,"$131,514 to < $178,741",$1.3141 to under $1.4301
DIBOLL ISD,6,1795,12.5,52.5,32.9,0.2,0.3,0,1.7,99.6,16.5,11.3,16.3,27.5,3.6,95,0.2,118,1034,18.5,302.7,139,1.3,2.9,7.9,45.9,11.1,30.8,107306,74013,61013,52585,33.1,12.9,24.4,12.6,10.6,16.5,5.1,13,82,0,0,0,0,69.7,4.6,10,3,155944,1.28,20693651,65.3,21.2,13.5,896978,2895353,0,21362370,10667,51.8,40.3,8.3,11,0.7,5,0.5,2.6,0.4,1.9,29.5,"1,600 to 2,999",Non-metropolitan Stable,"$131,514 to < $178,741",$1.1701 to under $1.3141
ZAVALLA ISD,3,320,0,5,92.5,0,0,0,2.5,72.5,0,15.3,0,30,5.6,93.1,1.6,35,966,.,61.1,34.2,0.8,6,2,55.9,8,27.2,91789,71927,64468,54199,0,9.4,34.2,12.6,14.5,23.5,0,0,97.2,0,0,0,2.8,72,11,6.9,0,296867,1.516,4967344,55.7,29.3,15,444187,2459142,0,4956627,12229,62,42.1,9.9,12.5,0,5.2,0.3,1.9,0.7,1.4,26.1,Under 500,Rural,"$288,727 to < $317,442",$1.4301 and over
CENTRAL ISD,4,1469,4.2,21.9,69.7,0.2,0.3,0,3.7,59.5,4.2,15,3.9,34.3,4.3,95.4,0.5,91,1045,20.7,235.2,114.7,2.5,3.6,7.1,48.8,15.4,22.7,84793,65673,61941,49649,9.9,12.8,39.2,10.7,12.2,18.1,0,3.5,94.8,0.9,0,0,0.9,71.6,10.6,3.3,0.4,182101,1.33,16406662,65.5,24.6,9.9,848032,3880003,0,16852029,10278,53.6,41.4,13.3,7.3,0.2,4.6,0.5,2.7,1,0.7,28.3,"1,000 to 1,599",Non-metropolitan Stable,"$178,741 to < $225,013",$1.3141 to under $1.4301
ARANSAS COUNTY ISD,4,2965,1.4,44.2,48.9,0.4,2.1,0.1,2.9,64.7,4.6,12.1,4.6,30,4.9,95.1,0.6,217,1022,20.3,447.9,205.1,1.7,2.6,8.9,45.8,11.3,29.7,101532,74895,58265,52566,25.4,14.5,34.5,12.4,21.7,22.2,0.5,16.1,81.5,0.5,0.5,0.5,0.5,81.3,9.4,2.7,2.3,1026180,1.164,39473913,22.5,62.4,15.2,3964053,5727610,0,40156528,11691,50.8,41,10.5,7.3,0.3,2.4,0.3,2.9,0.9,1,33.6,"1,600 to 2,999",Non-metropolitan Stable,"$847,341 and over",Under $1.1701
ARCHER CITY ISD,2,502,0.6,13.3,80.7,1,0,0,4.4,50,1.6,12.7,1.6,46,6.2,96.1,0.6,28,1079,19.3,90.8,47.1,1.1,1.3,5.4,51.9,18.1,22.1,143500,79256,59910,54647,6.8,10.7,18.8,14.9,14.5,10.8,0,2.1,91.8,0,0,0,6.2,77.5,7.6,4.1,0,421437,1.33,7336723,52.2,41.9,5.9,1128943,2838054,0,7139075,11903,58.5,42.5,9.7,7.5,0.1,6.8,0.3,5.5,1,0.5,26.3,500 to 999,Rural,"$407,429 to < $450,515",$1.3141 to under $1.4301
HOLLIDAY ISD,3,1047,0.5,8.2,87.4,0.8,0,0,3.2,22.2,0.2,10.5,0.2,28.6,7.6,97.1,0,74,1146,23,131.6,79,1.5,2.3,4.6,60,15.5,16.1,115650,87400,66356,54810,8.7,13.3,12.7,14.9,24.1,11.5,0,3.8,94.9,0,0,0,1.3,80.7,7.4,4.1,0.3,278093,1.48,11289706,58.6,38.3,3.1,1135038,3052515,0,10398808,8377,58.5,51.1,6.8,3.3,0.1,5.1,0.3,5.1,1.7,0.7,25.9,"1,000 to 1,599",Other Central City Suburban,"$266,163 to < $288,727",$1.4301 and over
WINDTHORST ISD,3,407,0.5,27.5,71,0.7,0,0,0.2,35.4,6.4,9.1,6.4,45.2,10.1,97.2,0.7,38,1038,21.1,65.2,34.3,1.9,3.2,4.2,52.6,9.6,28.4,102400,83083,66654,53263,15.2,11.9,14.8,15.4,11.4,16,0,5.8,94.2,0,0,0,0,78,6.2,4.3,0,219965,1.3,4811661,67.6,27.7,4.8,213511,2961289,0,4859361,11163,56.8,43.6,6.1,7.8,1.1,6.6,0.2,6.9,1.2,0,26.6,Under 500,Rural,"$178,741 to < $225,013",$1.1701 to under $1.3141
CLAUDE ISD,1,331,0.9,14.8,79.8,1.2,0,0,3.3,36.9,0.9,10.9,0.9,36.9,4.8,95.8,0,26,.,19.9,52.8,30.2,1.9,3.2,8.9,57.2,9.2,19.7,115763,66329,50435,46773,10.7,11,29.6,13.1,18.5,33.1,0,6.5,93.5,0,0,0,0,83.3,5.8,3.3,0,447614,1.108,4710591,47,46.7,6.3,164328,4050811,0,4437396,10881,53.9,42.5,5.8,6.8,0.1,5.8,0.3,3.2,0.8,1.7,33.1,Under 500,Rural,"$407,429 to < $450,515",Under $1.1701
CHARLOTTE ISD,3,452,0,87.6,12.2,0,0.2,0,0,71.5,5.5,14.2,5.3,36.3,5.3,95.9,0,39,968,17.2,84.9,43.8,2.4,3.4,3.1,51.6,10.6,28.9,108500,77847,62559,54246,71.9,10.3,33.1,11.4,21.6,30.8,0,60.7,39.3,0,0,0,0,88.6,0,3.4,0,535430,1.319,7527640,33.3,54.9,11.8,750425,2248025,0,7492092,13756,52.9,37.5,8.3,13.5,0.8,3.2,0.2,2.7,0.6,1,32.2,Under 500,Rural,"$530,196 to < $559,445",$1.3141 to under $1.4301
JOURDANTON ISD,5,1606,0.6,61.8,35.9,0.2,0.2,0,1.3,51.8,3.1,12.5,3,26.2,3.8,95.7,0.9,108,1040,20.3,215.5,116.5,1.9,3.5,2.8,54.1,11.1,26.7,99399,84273,75558,55110,40.6,13.8,20.6,14.1,26.1,18,0,24,73.4,0,0.9,0,1.7,80.9,7.3,3.2,0.9,494623,1.501,19794067,25.1,64.6,10.3,2844902,5524051,0,19530449,9757,55.5,43.8,10.2,5.8,0.3,4.3,0.4,5.2,1.3,1.8,26.9,"1,600 to 2,999",Non-metropolitan Stable,"$483,611 to < $530,196",$1.4301 and over
LYTLE ISD,6,1779,0.7,82.1,16.1,0.1,0.2,0.2,0.6,74.7,13.8,9.2,12.8,29.5,2.8,94.3,1.2,109,984,19.5,274.6,123.6,2.4,3.1,6.2,45,8.5,34.8,92506,76017,63969,55528,60.2,14.4,31.2,11.4,22.7,17.3,1.6,40.5,56.3,0,0,0.8,0.8,71.6,8.6,7.3,0.1,168957,1.372,19456075,62.9,24,13.1,1417042,5089725,0,18878163,9769,51.1,39.6,8.7,10.6,0.7,5.2,0.2,4,1.5,3.2,26.4,"1,600 to 2,999",Non-metropolitan Stable,"$131,514 to < $178,741",$1.3141 to under $1.4301
PLEASANTON ISD,6,3560,0.6,69.3,28.2,0.2,0.5,0.1,1.2,64.9,3.8,12.7,3.7,29,4,94.4,0.5,240,1007,20,490.2,237.6,1,2.4,7.4,48.5,13.9,26.8,116132,76273,63392,54572,50.6,15,32,11.8,25.6,17,1.3,31.6,65.5,0,0,0,1.7,79.8,13.4,2.1,0,474166,1.467,44272800,24.4,59.9,15.8,5511973,16572571,0,43192116,9522,52.7,37.5,16.3,7.3,0.4,4.2,0.3,2.8,1,2.2,28.2,"3,000 to 4,999",Independent Town,"$472,586 to < $483,611",$1.4301 and over
POTEET ISD,4,1638,0.5,86.6,12.3,0,0.1,0.1,0.4,75.6,6.2,9.8,8.8,33.8,4.5,93.5,1.2,118,964,17.3,250.6,120.7,2,2.8,8.8,48.2,10.4,27.8,85235,75738,57199,51775,68.6,13.6,38.8,10.8,19.1,22.8,0,57.2,42.8,0,0,0,0,81.2,7.5,2.8,0,151514,1.47,21782046,62.7,23.7,13.6,2081959,6817972,0,17996087,9394,55.6,38.3,10.7,11.3,1.2,4.5,0.3,2.9,1,1.5,28.4,"1,600 to 2,999",Non-metropolitan Stable,"$131,514 to < $178,741",$1.4301 and over
BELLVILLE ISD,5,2194,8.2,30.9,58.2,0.2,0.5,0,1.8,44.8,8.9,12.4,8.8,36.3,11.5,96.4,0.1,170,1114,23,343.5,170.8,1.5,2.9,6.9,49.7,11.5,27.6,114938,81721,58517,51773,20.4,12.8,27.7,13.7,15.1,12.3,1.9,4.7,92.8,0,0,0,0.6,76.4,10.3,0.8,1.7,532223,1.26,27068728,26.2,64.1,9.7,2137052,6228977,0,24890465,10065,57,41.8,13.3,6,1.1,4.7,0.4,3.1,2.1,0.2,27.4,"1,600 to 2,999",Independent Town,"$530,196 to < $559,445",$1.1701 to under $1.3141
SEALY ISD,4,2796,7.8,51.6,36.6,0.2,0.9,0,2.9,55.9,15.8,11.2,15.6,28.9,5.2,95.4,1.6,175,1027,19.6,364.7,204.8,1.9,4,7.3,56.1,10.9,19.7,107287,73409,65298,54829,26.1,13.7,33.1,11.2,15.1,14,5.9,15.1,78.6,0,0,0,0.5,62.8,11.4,3.7,8.9,472000,1.39,32910195,30.5,57.4,12.1,4122271,4500000,0,35610801,10502,56.1,40,15.9,7,0.6,4.1,0.3,3.2,2.9,0,26.1,"1,600 to 2,999",Other Central City Suburban,"$450,515 to < $472,586",$1.3141 to under $1.4301
BRAZOS ISD,4,849,9.2,51.7,36.3,0,0.4,0,2.5,64.4,17.6,14.4,16.3,30,4.4,96.7,0.4,41,1027,-1,126.3,64.1,2.1,3.6,2.6,50.8,0,41,85407,71778,63887,50872,28.8,13.2,35.4,11.8,16.1,36.4,6.1,9.9,79.4,0,0,0,4.7,78.5,5.7,4.7,0,339987,1.44,11310364,53.5,36.2,10.4,1255877,4060380,0,10699060,10594,51.9,35.1,10.9,8.9,3.1,3.9,2.3,5.1,1.3,0,29.4,500 to 999,Rural,"$337,807 to < $360,988",$1.4301 and over
MULESHOE ISD,5,1400,0.6,86.3,12.1,0,0.6,0.1,0.3,85.4,27.8,13.9,27.6,26.1,1.9,95.7,0.3,98,901,18.5,215.4,111.4,1.9,3.2,7,51.7,17.5,18.7,104800,75500,53368,47667,41.7,12.6,38.7,11.2,18.9,24.9,0,24.2,74,0.9,0,0,0.9,63.3,9.5,13.6,4.1,187879,1.34,18807000,61.2,22.3,16.5,1062300,6265167,0,18001039,11445,57.3,34.4,12.6,15.4,1.8,4.6,0.2,3.7,1.4,0,26.1,"1,000 to 1,599",Non-metropolitan Stable,"$178,741 to < $225,013",$1.3141 to under $1.4301
MEDINA ISD,1,315,2.9,27.9,65.7,0,0,0,3.5,62.9,1.9,16.5,1.3,31.7,9.2,95.4,0.9,24,987,-1,71.2,32,3,0.3,8.1,44.9,3.8,39.9,93549,72800,50043,46476,13.8,9.8,37,14.4,14,19.5,0,9,87.9,0,0,0,3.1,67,8.9,7.2,0,787369,1.23,4772885,24.3,66.2,9.5,657452,461787,0,8650827,13472,49.5,34.6,10.1,9,0.2,5.1,0.2,4.6,0.8,0.8,34.6,Under 500,Rural,"$697,496 to < $814,022",$1.1701 to under $1.3141
BANDERA ISD,4,2286,0.2,34.3,62.3,0.2,0.4,0,2.6,49.4,4.7,14,4.5,34.2,5,94.8,2,129,1077,23.5,300.1,149.2,1.3,3.7,6.5,49.7,10.7,28,115644,79396,62473,53115,19.7,15.3,29,12.8,25.5,21.7,2,14.6,82.7,0,0.7,0,0,74.4,8.8,7.3,0.2,670957,1.17,25201210,8.2,80.3,11.5,3424965,7102236,0,23043375,9342,52,35.9,12.1,9.8,0.3,5.3,0.4,3.6,2.3,0.3,30,"1,600 to 2,999",Major Suburban,"$636,179 to < $697,496",Under $1.1701
BASTROP ISD,14,11382,3.5,69.3,23.6,0.2,0.5,0.1,2.9,69.5,31,11.6,30.1,27.2,6.6,94.6,0.4,751,1040,19.8,1217.8,708.6,1.3,3.5,12.3,58.2,16.5,8.2,113822,83564,61138,52737,32.3,16.1,42.3,10.8,22.3,22.7,5.1,19.4,72.6,0.3,0.8,0.1,1.7,51.7,15.3,8.9,9.2,313370,1.441,123960055,45.2,41,13.8,17159860,18374883,0,119112379,9432,57.4,41.4,15.8,8.4,1.4,2.7,0.4,1.5,1.1,0.7,26.6,"10,000 to 24,999",Independent Town,"$288,727 to < $317,442",$1.4301 and over
ELGIN ISD,7,4556,10.4,70.2,16.5,0.1,0.3,0.1,2.4,77.9,34.5,10.7,38.2,33.3,8.4,94.5,1.8,319,900,19,667.4,296.8,1.7,3.4,12.1,44.5,11.2,27.1,111608,77551,65409,53680,47.5,15.4,55.7,7.5,21.9,31.9,7.9,28.2,62.5,0.7,0.3,0,0.3,61.4,11,3.8,17.4,270308,1.54,59162698,48.4,36.6,15,9132453,15594397,0,60067282,10487,51,40.8,11.6,8.3,1.1,3.5,0.6,2.4,1.8,2.3,27.8,"3,000 to 4,999",Non-metropolitan Stable,"$266,163 to < $288,727",$1.4301 and over
SMITHVILLE ISD,4,1853,7.2,33.7,54.1,0.3,0.6,0,4,54,7.5,12.5,7.3,23.5,7.4,95.5,1.2,137,1069,21.5,265.6,136.9,1.9,2.9,7,51.6,14.3,22.4,100989,73316,59022,51304,17.7,13.5,42.2,10.9,21.4,22,5.5,8,83.6,0,0,0,2.9,75.5,12.7,6.3,0,437673,1.43,22147813,35.8,53,11.2,2211605,5587566,0,36156288,10504,53.2,42.2,14,6.2,0.2,2.7,0.2,3.1,0.9,1.4,29.1,"1,600 to 2,999",Non-metropolitan Stable,"$407,429 to < $450,515",$1.3141 to under $1.4301
MCDADE ISD,3,365,1.4,50.7,46.3,0,0,0.3,1.4,55.1,19.5,11.2,24.4,23.3,11.2,96.3,0,7,-1,.,67.3,34.1,2.2,5,3,50.8,13,26,86483,63690,51468,44697,23.8,10.7,52.7,7.5,9.2,41.1,2.9,8.8,85.4,2.9,0,0,0,90.3,2.2,0,0,237648,1.105,4375398,62,28.7,9.3,141598,950063,0,4472332,10369,50.4,42.2,8.1,7.1,0.2,3.3,0.3,2.5,0.1,3.2,33.2,Under 500,Non-metropolitan Fast Growing,"$225,013 to < $266,163",Under $1.1701
SEYMOUR ISD,3,576,1.4,21.5,70.1,0,0.3,0,6.6,59.7,0.5,12.2,0.5,41.3,3.3,95.8,0.6,35,-1,18.5,92.8,49.5,1.1,3.5,6,53.3,11.7,24.4,100000,72686,59279,50875,10.6,11.6,23.6,14.6,7.4,15.2,2,3.9,94.1,0,0,0,0,82,5.2,1.5,0,321572,1.12,7589116,57.9,35.2,6.9,418392,4444020,0,7486782,12293,52.4,37.6,4.3,16,0.1,6.6,0.2,5.5,0.8,0,29,500 to 999,Rural,"$317,442 to < $337,807",Under $1.1701
ST MARY'S ACADEMY CHARTER SCHOOL,1,429,1.9,79.5,14.7,0,2.3,0,1.6,73,1.9,8.6,1.9,0,9.1,96.3,.,.,.,.,75.8,25.8,2.3,2.4,10.9,34,23.2,27.3,87262,62358,62611,49887,58.3,16.6,34.2,13.5,10.8,24.9,0,32.3,63.9,0,3.8,0,0,74.4,3.8,19.9,0.9,0,0,4896866,85,2.2,12.8,0,0,293926,4882314,11216,52.2,47.2,5.7,12.1,0.1,0,0.4,0,0,0,34.5,Under 500,Charters,Non-taxing entities,Non-taxing entities
BEEVILLE ISD,7,3218,2.4,83.5,12.6,0,0.2,0.1,1.1,88.4,2.5,11.9,2.2,37.4,4.4,93.2,2.5,257,942,18.1,447.9,203.8,1.1,3.3,7.2,45.5,13.5,29.3,116824,87718,68227,54111,68.2,15.8,42,10,17.5,24.4,1.8,49.6,45.3,0.5,2.8,0,0,85.1,5.9,0,0,225544,1.205,34852492,54.7,30.9,14.4,775219,9922080,0,34048658,9376,55.4,41.3,11.5,11.1,0.4,4,0.2,3,0.4,0.9,27.2,"3,000 to 4,999",Independent Town,"$225,013 to < $266,163",$1.1701 to under $1.3141
PAWNEE ISD,1,522,4,80.3,13,0,0.6,0,2.1,84.7,3.8,2.3,3.4,0,1.3,95.9,.,.,.,.,97.4,32.1,2.1,3.1,7.8,33,42,12.1,84544,87092,66274,48696,43.3,16.3,65.7,5.4,15.6,35.4,3,12.5,84.5,0,0,0,0,36.2,2.5,61.3,0,1027534,1.25,5280075,5.3,88.9,5.8,833450,2778158,0,5101221,13489,67.6,20.5,4.2,10.7,0,0,0.1,1.2,0,40.8,22.5,500 to 999,Non-metropolitan Fast Growing,"$847,341 and over",$1.1701 to under $1.3141
PETTUS ISD,2,393,1.3,68.2,29.5,0.3,0,0,0.8,62.3,0,11.5,0,39.7,3.6,95.4,0,38,1017,18.1,84.9,41.4,2.4,2.5,5.7,48.7,17.4,23.3,87192,88299,55528,53422,51.2,9.5,35.2,10.9,12.3,11.8,0,30.9,66.7,2.4,0,0,0,84.1,9,0,0,1322801,1.385,7635935,19.9,70.8,9.3,1765199,1738687,0,10930738,15391,47.3,33.9,12.4,6.5,0,5.5,0.2,4.5,0.5,1.3,35.3,Under 500,Rural,"$847,341 and over",$1.3141 to under $1.4301
SKIDMORE-TYNAN ISD,3,826,0.8,69.5,26.6,0.5,0.8,0.4,1.3,63.7,2.3,12,2.1,34.3,7.3,95.2,0,69,1107,21.5,123.3,63.8,3.2,2.4,4.9,51.8,10.5,27,88221,79656,60164,51294,57.6,12.9,29.7,13,17,14.1,3.1,40.6,54.7,0,1.6,0,0,82.4,6.2,3.1,0,179888,1.509,11244188,70.2,20.3,9.5,1462632,2380465,0,10269931,10357,54.1,38.1,11.3,7.6,0.2,5.8,1.2,5.1,1.5,0,29.2,500 to 999,Rural,"$178,741 to < $225,013",$1.4301 and over
RICHARD MILBURN ALTER HIGH SCHOOL,9,1910,13.9,64.6,19.5,0.3,0.1,0.1,1.5,75.4,6.6,12.6,6.4,46,0,82.8,19.6,477,882,16.5,184.3,72.6,1.6,8.9,19,39.4,19.2,11.9,99957,75387,61508,53936,46.6,26.3,66.6,8.1,17.1,44.6,10.9,19.9,67.9,0,0,0,1.4,75.2,11.1,0,5.5,0,0,18793479,90.5,0.7,8.7,0,0,116539,17567298,8873,37.9,41.6,8.8,13.6,0.2,3.1,0,0,4.3,0,28.5,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
